MRCP-10F_dicom_1328x815x1067_A	-50.1
MRCP-10M_dicom_1317x828x1067_A	-52.8
MRCP-15F_dicom_1316x812x1067_A	-56.0
MRCP-15M_dicom_1444x834x1067_A	-60.6
MRCP_AF_dicom_1539x955x1067_A	-79.2
MRCP_AM_dicom_1552x970x1067_A	-64.8
CQ500-CT-127_A	-57.8
CQ500-CT-136_A	-66.6
CQ500-CT-172_A	-64.5
CQ500-CT-183_A	-64.5
CQ500-CT-241_A	-49.5
CQ500-CT-266_A	-78.9
CQ500-CT-298_A	-84.5
CQ500-CT-305_A	-37.5
CQ500-CT-307_A	-71.7
CQ500-CT-325_A	-6.6
GRDN00MGH1ABQLE8_A	-42.3
GRDN02BKET588MC5_A	-81.0
GRDN0V840WXJ02B6_A	-54.9
GRDN0XOSMPPEAYBU_A	-58.2
GRDN0YP5B56SGAJM_A	-41.7
GRDN17YG2OQIYVPO_A	-65.7
GRDN1P7W3AFP70R8_A	-15.0
GRDN1TQOUC2B1R2U_A	-51.0
GRDN21I9AD975J98_A	-54.9
GRDN2SAZN503S7N0_A	-37.8
